Report generated on: 03-06-2023 12:08:31
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-CYM-TBPD.A","        Cayman Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-CAF-TBPD.A","        Central African Republic","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-TCD-TBPD.A","        Chad","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.06849315068493","170.58743169398906","176.65753424657535","157.91780821917808","144.2027397260274","127.1639344262295","119.47123287671234","122.52054794520548","114.96438356164384","104.48360655737704","100","121","123","114","127.919117","131.51523953424658","128","115.81693989071039","87.93150684931507"
"INTL.53-1-CHL-TBPD.A","        Chile","","","","","","","","46","52","54","50","50","48","44","43","38","36","35","32","29","29.658835616438356","29.110958904109587","26.778082191780822","25.7","18.866849315068492","18.404109589041095","18.03095890410959","16.36188950451913","17.1718578846137","17.14158417081096","16.93328619369315","15.759833333333333","14.928575342465754","12.891838356164383","10.87226301369863","12.558379234972678","12.717776712328767","17.73304109589041","18.08686712328767","17.192371584699455","15.693456164383562","14.100765753424657","12.65317397260274","11.014797267759564","11.6502","15.1351","19.1706","16.360367213114753","19.328425815259187"
"INTL.53-1-CHN-TBPD.A","        China","1089.8794520547945","1315.131506849315","1490.013698630137","1669.7513661202186","1873.9424657534246","2082.0986301369862","2122.06301369863","2113.8524590163934","2012.4383561643835","2045","2119.6027397260273","2295.6693989071036","2505.1643835616437","2620.2876712328766","2690","2730.3196721311474","2756.7917808219177","2773.9991589041097","2835.0004301369863","2844.663105511848","2902.8012575342464","2957.2876712328766","3060.0493150684933","3211.3387978142077","3284.3424657534247","3302.178082191781","3316.9945205479453","3388.5273186951963","3444.6348642788507","3549.8615359097425","3602.9059855313385","3722.7522076502732","3871.515917808219","3980.2150684931507","4083.0112328767123","4169.733267213115","4196.292306849315","4557.519473972603","4616.179716438356","4707.142516939891","4840.534912328767","4982.802594520548","5103.410150684931","4838.198454644808","4737.800817808219","4753.095502739727","4862.907565753425","4862.585915300547","4993.069739371273"
"INTL.53-1-COL-TBPD.A","        Colombia","","","","","","","","134","133","149","158","174","182","315","396","387","417","454","430","445","467.3002931506849","462.3342465753425","597.1986301369863","642.0644808743169","665.258904109589","745.9383561643835","830.4246575342465","704.115997854142","636.8241534652492","588.2760879595726","554.6762954722631","541.9562568306011","540.6865643835616","548.3515534246575","546.108495890411","603.3667109289618","689.3770561643836","804.6706657534247","937.4966506849315","973.4439721311476","1032.2897315068494","1015.1855465753424","1034.1784383561644","914.9251535519126","880.1578511232877","892.7534123287671","913.398883479452","808.2425229508196","764.186094818648"
"INTL.53-1-COM-TBPD.A","        Comoros","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-COG-TBPD.A","        Congo-Brazzaville","35","61","37","39","33","33","57","65","83","89","87","121","120","119","123","144","164","165","156","174","180.7","179.6041095890411","187.57397260273973","200.62622950819673","264.9328767123288","277","282.8383561643836","291.90739878406026","266.35026994523855","259.962099289211","255.52325595110136","242.9266912568306","235.8758109589041","247.29631506849316","213.6507397260274","239.8934918032787","274.5362739726027","345.98151643835615","295.8984520547945","270.448349726776","248.09452602739725","241.06848493150684","245.2764","204.80032513661203","252.64239007178517","347.2824123192914","335.49581749635945","288.9654532548902","270.74874728961805"
"INTL.53-1-COD-TBPD.A","        Congo-Kinshasa","","","","","","","","20","20","23","25","32","33","32","32","30","28","29","28","26","24.8","26.06027397260274","29.9","29.9","28.328767123287673","26.838356164383562","22","26.01703483125683","24.0170815020274","22.665753424657535","22","21.084699453551913","19.747945205479454","20","22.156164383561645","19.957650273224044","22","21","20.161643835616438","20","20","20","20","20","19","25","24","23","22"
"INTL.53-1-COK-TBPD.A","        Cook Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
